,Title,Published_at,views,Likes,Comment
0,I'll Never Code the Same Again... (GPT-4 is OP),2023-04-03T13:00:27Z,2362,182,0
1,Your current portfolio is actually hurting you #shorts,2023-03-30T13:00:37Z,2114,120,1
2,"Traditional ""networking"" is stupid. Do THIS instead #shorts",2023-03-27T13:00:41Z,2966,182,2
3,you're job searching wrong. #shorts,2023-03-23T13:00:35Z,2365,134,3
4,The Economics of Data Roles #shorts,2023-03-21T13:00:15Z,2383,150,0
5,Why your phone knows everything you say #shorts,2023-03-18T13:00:42Z,2259,101,6
6,Read these for a successful career. #shorts,2023-03-16T01:19:35Z,2135,179,1
7,Is Your Phone Actually Listening to You? #shorts,2023-03-09T13:00:01Z,2182,42,5
8,How I Realized I Was a Bad Manager #shorts,2023-03-07T13:00:11Z,2270,103,1
9,How I Use ChatGPT as a Data Scientist (4-5 hrs Saved Per Week),2023-03-03T13:00:07Z,14539,571,48
10,Why I Quit Data Science... and then crawled back #shorts,2023-03-01T13:00:17Z,4775,161,7
11,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27T13:00:32Z,2016,125,2
12,Learning On the companies dime #shorts,2023-02-24T17:00:13Z,2622,139,1
13,The Best Way to Transition to Data Science? #shorts,2023-02-21T17:13:47Z,3031,193,6
14,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17T13:00:03Z,4293,257,6
15,Don't Go into Data for the Money #shorts,2023-02-15T10:00:37Z,3153,182,12
16,Battle Tested Advice for Your First Data Science Project (It's Important),2023-02-13T13:00:36Z,4128,261,22
17,How to Approach Applying for a Data Role #shorts,2023-02-08T13:00:39Z,3161,201,7
18,The Hard Reality of Data Science Work #shorts,2023-02-06T19:35:25Z,6411,422,9
19,How Much Money Does a Data Scientist Make? #shorts,2023-02-03T12:00:03Z,3782,150,6
20,These 3 Things Make Data Science Special #shorts,2023-02-01T12:00:12Z,3479,260,6
21,Will Data Science Be Automated? #shorts,2023-01-27T11:00:44Z,5446,261,7
22,Is Data Science A Good Fit For You? #shorts,2023-01-25T11:00:05Z,4490,250,9
23,5 Books I Wish I Read Earlier In My Career,2023-01-23T15:31:48Z,7579,445,49
24,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19T07:00:06Z,3944,396,10
25,What Data Science Tool Would I Learn First? #shorts,2023-01-17T07:00:12Z,5805,415,10
26,How long does it take to become a Data Scientist? #shorts,2023-01-12T11:45:02Z,4608,362,6
27,Where & how to start your Data Science Journey #shorts,2023-01-09T00:35:13Z,5979,359,2
28,How I Would NOT Learn Data Science in 2023.,2023-01-03T13:00:34Z,97371,3390,224
29,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14T13:00:23Z,4499,190,28
30,The Essential Programming Concepts For Learning Data Science,2022-11-14T13:00:02Z,18774,793,46
31,The Data Content House: What You Missed,2022-10-07T13:00:04Z,10090,340,50
32,Is Data Science A Good Career?,2022-09-29T20:40:31Z,51185,1676,122
33,IRON ANALYST (Teaser) #shorts,2022-09-27T17:21:13Z,5310,346,24
34,When a New Data Scientist Joins The Team,2022-08-29T13:00:01Z,15817,727,131
35,State of Data Science - Web Data,2022-08-05T20:20:04Z,10364,359,34
36,Data Science Town Hall - State of Data Science,2022-08-04T18:34:49Z,9882,377,38
37,The Programming Roadmap For Data Science,2022-07-29T14:31:33Z,23424,1178,62
38,5 Impactful Data Science Projects For Your Portfolio,2022-06-27T13:00:10Z,51416,2223,85
39,Machine Learning Saves My Baseball Career?,2022-06-10T13:00:00Z,7253,329,68
40,Every Data Scientist... (funny!),2022-05-24T13:00:07Z,15528,826,146
41,State of Data Science (Town Hall) ft - Data Squad,2022-05-07T22:43:20Z,15934,431,65
42,Data Science Portfolio Project From Scratch | Building a YouTube Data Dashboard with Streamlit,2022-04-04T13:00:16Z,45654,1261,83
43,Why You Are NOT Landing Data Jobs ... Yet,2022-03-25T13:00:38Z,19248,834,104
44,Data Scientists VS NFT Scam,2022-03-03T13:00:36Z,4525,188,51
45,When a PM Joins the Data Team... (funny!) - Ft @LukeBarousse,2022-02-21T13:00:03Z,10773,505,144
46,What Professional Data Scientists ACTUALLY Do,2022-02-14T13:00:31Z,89157,3120,184
47,Can You Analyze My Data Better Than I Can?,2022-01-31T13:00:11Z,6819,315,62
48,Giving Back to My Most Engaged Subscribers!,2022-01-28T13:00:01Z,2301,118,89
49,How to Make $1 Billion Betting on Horse Racing with Machine Learning,2022-01-24T13:00:09Z,20087,701,92
50,Should You Be Excited About Web 3? (As a Data Scientist),2022-01-17T13:00:00Z,8650,417,85
51,Should  @LukeBarousse Take This Data Analyst Job? (Funny) #Shorts,2022-01-14T10:00:02Z,8274,244,32
52,The Only Data Science Explanation You Need,2022-01-10T13:00:33Z,33914,1910,167
53,We Need to Talk About The LinkedIn Machine Learning Assessment.,2022-01-03T13:00:35Z,14245,642,144
54,How I Would Learn Data Science in 2022 (If I Had to Start Over),2021-12-27T13:00:34Z,327329,14558,529
55,What the Heck is WSL 2? (My New Favorite Tool),2021-12-17T14:00:01Z,9842,379,63
56,How Statistics Saved the US SERIOUS $$$$ During WW2 #Shorts,2021-12-10T13:00:22Z,7827,557,25
57,How Zillow Lost $500 MILLION With Machine Learning,2021-12-03T13:00:14Z,23732,1154,150
58,Why Is Data Engineering So HOT Right Now?,2021-11-26T13:00:22Z,28772,1080,141
59,Is Data Science Dying?,2021-11-19T13:00:01Z,114711,3682,347
60,7 Incredible Books That Transformed My Health and My Life,2021-11-12T13:00:04Z,7891,386,112
61,Why EVERYONE Should Start a Podcast (Including YOU),2021-11-05T13:00:23Z,3605,202,48
62,Building a Burrito Dashboard - Data Science Project from Scratch with atoti,2021-10-29T12:00:01Z,11210,266,33
63,ML Ops: What is it REALLY?,2021-10-22T13:00:00Z,5933,264,61
64,Business Skills for Data Science: What are they REALLY?,2021-10-18T13:00:27Z,6610,294,50
