,Title,Published_at,Date,Time,views,Likes,Comment,Month,Youtuber_Name
0,The Best Place to Look for Data Science Opportunities #shorts,2023-02-27T13:00:32Z,2/27/2023,13:00:32Z,962,43,1,Feb,KenJee
1,Learning On the companies dime #shorts,2023-02-24T17:00:13Z,2/24/2023,17:00:13Z,1787,78,1,Feb,KenJee
2,The Best Way to Transition to Data Science? #shorts,2023-02-21T17:13:47Z,2/21/2023,17:13:47Z,2502,153,5,Feb,KenJee
3,Avoid this Massive Data Science Learning Mistake #shorts,2023-02-17T13:00:03Z,2/17/2023,13:00:03Z,2851,174,4,Feb,KenJee
4,Don't Go into Data for the Money #shorts,2023-02-15T10:00:37Z,2/15/2023,10:00:37Z,2932,166,12,Feb,KenJee
5,What They Don't Tell You About Your First Data Science Project.,2023-02-13T13:00:36Z,2/13/2023,13:00:36Z,3029,213,18,Feb,KenJee
6,How to Approach Applying for a Data Role #shorts,2023-02-08T13:00:39Z,2/8/2023,13:00:39Z,2804,159,7,Feb,KenJee
7,The Hard Reality of Data Science Work #shorts,2023-02-06T19:35:25Z,2/6/2023,19:35:25Z,4329,276,8,Feb,KenJee
8,How Much Money Does a Data Scientist Make? #shorts,2023-02-03T12:00:03Z,2/3/2023,12:00:03Z,3340,125,6,Feb,KenJee
9,These 3 Things Make Data Science Special #shorts,2023-02-01T12:00:12Z,2/1/2023,12:00:12Z,2977,212,6,Feb,KenJee
10,Will Data Science Be Automated? #shorts,2023-01-27T11:00:44Z,1/27/2023,11:00:44Z,5103,227,7,Jan,KenJee
11,Is Data Science A Good Fit For You? #shorts,2023-01-25T11:00:05Z,1/25/2023,11:00:05Z,4283,214,8,Jan,KenJee
12,5 Books I Wish I Read Earlier In My Career,2023-01-23T15:31:48Z,1/23/2023,15:31:48Z,6599,404,49,Jan,KenJee
13,How To Start Working on Data Science Projects (As a Beginner) #shorts,2023-01-19T07:00:06Z,1/19/2023,07:00:06Z,3729,356,10,Jan,KenJee
14,What Data Science Tool Would I Learn First? #shorts,2023-01-17T07:00:12Z,1/17/2023,07:00:12Z,5457,371,10,Jan,KenJee
15,How long does it take to become a Data Scientist? #shorts,2023-01-12T11:45:02Z,1/12/2023,11:45:02Z,4363,319,6,Jan,KenJee
16,Where & how to start your Data Science Journey #shorts,2023-01-09T00:35:13Z,1/9/2023,00:35:13Z,5680,328,2,Jan,KenJee
17,How I Would NOT Learn Data Science in 2023.,2023-01-03T13:00:34Z,1/3/2023,13:00:34Z,74131,2770,204,Jan,KenJee
18,The Greatest Data Science Event You Never Heard Of  [Behind The Scenes],2022-12-14T13:00:23Z,12/14/2022,13:00:23Z,4316,181,26,Dec,KenJee
19,The Essential Programming Concepts For Learning Data Science,2022-11-14T13:00:02Z,11/14/2022,13:00:02Z,18075,766,46,Nov,KenJee
20,The Data Content House: What You Missed,2022-10-07T13:00:04Z,10/7/2022,13:00:04Z,9917,336,56,Oct,KenJee
21,Is Data Science A Good Career?,2022-09-29T20:40:31Z,9/29/2022,20:40:31Z,47012,1565,119,Sep,KenJee
22,IRON ANALYST (Teaser) #shorts,2022-09-27T17:21:13Z,9/27/2022,17:21:13Z,5009,330,24,Sep,KenJee
23,When a New Data Scientist Joins The Team,2022-08-29T13:00:01Z,8/29/2022,13:00:01Z,15621,717,131,Aug,KenJee
24,State of Data Science - Web Data,2022-08-05T20:20:04Z,8/5/2022,20:20:04Z,10331,360,34,Aug,KenJee
25,Data Science Town Hall - State of Data Science,2022-08-04T18:34:49Z,8/4/2022,18:34:49Z,9857,377,38,Aug,KenJee
26,The Programming Roadmap For Data Science,2022-07-29T14:31:33Z,7/29/2022,14:31:33Z,20663,1081,58,Jul,KenJee
27,5 Impactful Data Science Projects For Your Portfolio,2022-06-27T13:00:10Z,6/27/2022,13:00:10Z,45729,2055,85,Jun,KenJee
28,Machine Learning Saves My Baseball Career?,2022-06-10T13:00:00Z,6/10/2022,13:00:00Z,7183,326,68,Jun,KenJee
