,Title,Published_at,Date,Time,views,Likes,Comment,Month,Youtuber_Name
0,How ChatGPT Can Be Wrong About Me?,2023-02-27T08:16:20Z,2/27/2023,08:16:20Z,4844,144,30,Feb,KrishNaik
1,When Your Kid Doesnt Want You To Work-Just For Fun with @krishivnaikvlogs8998,2023-02-24T14:49:47Z,2/24/2023,14:49:47Z,16020,585,62,Feb,KrishNaik
2,Changes Is Inevitable And You Need To Change With Time,2023-02-24T07:11:12Z,2/24/2023,07:11:12Z,8794,450,38,Feb,KrishNaik
3,"Watch This Video To Crack Any Stats Interview For Data Scientist- Understanding PDF,PMF and CDF",2023-02-23T12:36:55Z,2/23/2023,12:36:55Z,9646,509,18,Feb,KrishNaik
4,What Is Derivatives In  Calculus In Layman Terms?,2023-02-21T14:40:53Z,2/21/2023,14:40:53Z,2445,117,9,Feb,KrishNaik
5,How Prakhar Cracked Multiple Job Offers In Data Science,2023-02-20T14:24:15Z,2/20/2023,14:24:15Z,6964,209,22,Feb,KrishNaik
6,How Jaiyesh Cracked Data Science Job In Siemens From Petroleum Engineering @iNeuroniNtelligence,2023-02-16T06:22:29Z,2/16/2023,06:22:29Z,5206,133,17,Feb,KrishNaik
7,Will Chatgpt Kill Your Creativity?,2023-02-15T12:05:24Z,2/15/2023,12:05:24Z,5100,189,58,Feb,KrishNaik
8,Successful Data Science Career Transition Of Shiva To Cisco With High Package @iNeuroniNtelligence,2023-02-14T13:29:58Z,2/14/2023,13:29:58Z,5178,147,24,Feb,KrishNaik
9,How Raghav Got 6 Offers In Data Science Coming From Non Technical Domain @iNeuroniNtelligence,2023-02-13T11:47:54Z,2/13/2023,11:47:54Z,14479,485,33,Feb,KrishNaik
10,"Sucessful Transition Story From Mechanical Eng ,UPSC Aspirant To Data Analyst Apprentice At Google",2023-02-12T06:25:52Z,2/12/2023,06:25:52Z,6006,177,11,Feb,KrishNaik
11,Can We Earn More From FreeLancing Than Full time Jobs? Steps To Start Your Free Lancing Career,2023-02-09T14:31:45Z,2/9/2023,14:31:45Z,9225,289,22,Feb,KrishNaik
12,Google Chatbot Alternative To ChatGPT- Who Will Win?,2023-02-06T14:11:44Z,2/6/2023,14:11:44Z,15832,381,25,Feb,KrishNaik
13,Machine Learning Playlist For Interviews #shorts,2023-02-05T06:37:51Z,2/5/2023,06:37:51Z,7079,520,13,Feb,KrishNaik
14,How To Build Ideas For Real World Data Science Projects For Interviews,2023-02-04T13:39:17Z,2/4/2023,13:39:17Z,9802,426,32,Feb,KrishNaik
15,You Know Your Strength And You Are Unique #shorts,2023-02-03T16:13:26Z,2/3/2023,16:13:26Z,4396,368,8,Feb,KrishNaik
16,Patience And Practise Is The Key to Learn Anything,2023-02-01T14:06:06Z,2/1/2023,14:06:06Z,8656,706,10,Feb,KrishNaik
17,Will ChatGPT Take Our Jobs? #shorts,2023-01-31T13:28:24Z,1/31/2023,13:28:24Z,10355,532,11,Jan,KrishNaik
18,Reality Of Data Science Work- What We Learn Vs What We Work In Industries,2023-01-31T11:58:52Z,1/31/2023,11:58:52Z,25813,1075,56,Jan,KrishNaik
19,AvgWord2vec Indepth Intuition And Practical Implementation,2023-01-29T12:37:45Z,1/29/2023,12:37:45Z,3274,82,9,Jan,KrishNaik
20,Exponential Learning #shorts,2023-01-28T08:37:42Z,1/28/2023,08:37:42Z,9172,689,8,Jan,KrishNaik
21,Lets Talk And Chat!! Live Q&A,2023-01-27T16:58:13Z,1/27/2023,16:58:13Z,6055,399,31,Jan,KrishNaik
22,Why Big Tech Companies Are Facing Massive Layoffs?,2023-01-26T14:23:33Z,1/26/2023,14:23:33Z,33135,735,72,Jan,KrishNaik
23,"Word Embeddings, Word2Vec And CBOW Indepth Intuition And Working- Part 1 | NLP For Machine Learning",2023-01-25T12:59:46Z,1/25/2023,12:59:46Z,5129,140,18,Jan,KrishNaik
24,Demo Of AI Powered Nvidia Broadcast Eye Contact,2023-01-24T14:14:20Z,1/24/2023,14:14:20Z,8723,194,18,Jan,KrishNaik
25,My Thoughts On Recent Layoffs And Recession,2023-01-22T12:13:09Z,1/22/2023,12:13:09Z,55630,1338,132,Jan,KrishNaik
26,Live From DUBAI,2023-01-20T14:01:53Z,1/20/2023,14:01:53Z,10199,302,35,Jan,KrishNaik
27,These Robots Are Really Smart|Museum Of the Future|Dubai #shorts,2023-01-18T12:49:53Z,1/18/2023,12:49:53Z,10142,500,10,Jan,KrishNaik
28,PCA Indepth Geometric And Mathematical InDepth Intuition ML Algorithms,2023-01-18T06:31:13Z,1/18/2023,06:31:13Z,9645,306,22,Jan,KrishNaik
29,I Used Chatgpt To Create My Own Private Web Browser,2023-01-16T15:15:35Z,1/16/2023,15:15:35Z,19506,481,41,Jan,KrishNaik
30,Data Collection Stratergy For Machine Learning Projects With API's- RapidAPI,2023-01-15T12:05:36Z,1/15/2023,12:05:36Z,11104,448,22,Jan,KrishNaik
31,Why To Choose Data Science As A Career In 2023?,2023-01-13T14:30:10Z,1/13/2023,14:30:10Z,19990,803,81,Jan,KrishNaik
32,Just Change Your Approach,2023-01-12T15:57:14Z,1/12/2023,15:57:14Z,13794,976,14,Jan,KrishNaik
33,The Ultimate 2023 Data Analyst Roadmap: From Zero to Hero|Krish Naik,2023-01-11T12:22:19Z,1/11/2023,12:22:19Z,50439,1817,91,Jan,KrishNaik
34,Top 6 CI/CD Tools for MLOPS Engineers,2023-01-09T14:24:53Z,1/9/2023,14:24:53Z,6133,218,19,Jan,KrishNaik
35,6 Months Data Science RoadMap 2023,2023-01-07T14:50:39Z,1/7/2023,14:50:39Z,69902,2443,183,Jan,KrishNaik
36,Create Amazing Data Science Resume Using ChatGPT- Try It Out,2023-01-06T12:46:06Z,1/6/2023,12:46:06Z,23252,681,41,Jan,KrishNaik
37,Amazing Data Science Content In 2023,2023-01-05T13:10:59Z,1/5/2023,13:10:59Z,16919,722,77,Jan,KrishNaik
38,Amazing Things That ChatGPT Can Do!!,2022-12-28T12:40:41Z,12/28/2022,12:40:41Z,16004,409,41,Dec,KrishNaik
39,Last Live Q&A Of 2022- Ask Me All your Queries,2022-12-27T14:42:43Z,12/27/2022,14:42:43Z,7736,407,32,Dec,KrishNaik
40,A New Revolution For Tech Education | Democratizing The Future of Education,2022-12-25T12:32:47Z,12/25/2022,12:32:47Z,22281,478,132,Dec,KrishNaik
41,One Thing You Need To Acquire To Learn Any Technology- Must Watch,2022-12-04T14:22:07Z,12/4/2022,14:22:07Z,18813,874,115,Dec,KrishNaik
42,Live Q&A- Amazing Community Courses Announcement- Ask Me Anything,2022-11-25T16:34:12Z,11/25/2022,16:34:12Z,6575,320,5,Nov,KrishNaik
43,Black Friday Sales 50% off On All Courses And Mobile App Announcement @iNeuroniNtelligence,2022-11-25T09:29:25Z,11/25/2022,09:29:25Z,13960,157,66,Nov,KrishNaik
44,All Possible Ways To Apply Jobs In Data Science Industry,2022-11-17T15:30:06Z,11/17/2022,15:30:06Z,29017,1052,53,Nov,KrishNaik
45,Companies That Are Hiring Aggressively For Data Science or Data Analytics Roles,2022-11-12T14:29:11Z,11/12/2022,14:29:11Z,63790,2362,101,Nov,KrishNaik
46,Best MLOPS Architecture For Data Science Projects,2022-11-11T14:43:24Z,11/11/2022,14:43:24Z,12204,361,29,Nov,KrishNaik
47,Full Stack Data Analytics 2.0 Live Batch- Best Course For Data Analyst,2022-11-10T14:35:17Z,11/10/2022,14:35:17Z,12218,195,47,Nov,KrishNaik
48,When Are We Launching iNeuron Mobile App- Both IOS And Android,2022-11-08T15:57:00Z,11/8/2022,15:57:00Z,83904,272,59,Nov,KrishNaik
49,Is Recession Coming? What You Should Do?,2022-11-06T16:22:21Z,11/6/2022,16:22:21Z,127221,2945,172,Nov,KrishNaik
50,Don't Panic While Learning Data Science😨😨😨😨,2022-11-04T14:47:16Z,11/4/2022,14:47:16Z,38501,1706,100,Nov,KrishNaik
51,Now Developing Your Deep Learning Application Is Easy Using Neurolab,2022-11-03T14:07:30Z,11/3/2022,14:07:30Z,7658,218,22,Nov,KrishNaik
52,I have Become A Recording Machine For Data Science 😎😎😎😎,2022-11-01T13:55:29Z,11/1/2022,13:55:29Z,16063,708,99,Nov,KrishNaik
53,ML Project Implementation And Deployment Using NeuroLab @iNeuroniNtelligence,2022-10-31T13:45:46Z,10/31/2022,13:45:46Z,9571,222,21,Oct,KrishNaik
54,NeuroLab Virtual Coding Lab Is Live🌟🌟 - Live Demo @iNeuroniNtelligence,2022-10-28T14:54:09Z,10/28/2022,14:54:09Z,14592,744,127,Oct,KrishNaik
55,The Best Course For Data Science Starters With Neuro Lab @iNeuroniNtelligence,2022-10-27T13:43:11Z,10/27/2022,13:43:11Z,9866,216,53,Oct,KrishNaik
56,We Are Working Hard For The Virtual Lab @iNeuroniNtelligence Happy Diwali All,2022-10-24T17:27:25Z,10/24/2022,17:27:25Z,15774,360,55,Oct,KrishNaik
57,Live Testing Of NeuroLab- Free Coding Platform For All,2022-10-22T13:09:33Z,10/22/2022,13:09:33Z,17367,416,22,Oct,KrishNaik
58,Need All Your Help To Test NeuroLabs Coding Platform  Today At 6pm,2022-10-22T07:23:40Z,10/22/2022,07:23:40Z,5938,248,42,Oct,KrishNaik
59,Scikit-Learn and Hugging Face Bhai Bhai👬👬,2022-10-20T11:29:52Z,10/20/2022,11:29:52Z,8957,283,25,Oct,KrishNaik
60,The Best Course For Data Analyst,2022-10-19T08:05:14Z,10/19/2022,08:05:14Z,16023,285,99,Oct,KrishNaik
61,We Have An Amazing Gift For Every Developers And Coders @iNeuroniNtelligence,2022-10-17T16:34:33Z,10/17/2022,16:34:33Z,208604,4937,214,Oct,KrishNaik
62,Live Full Stack Data Analytics Bootcamp 2.0 Course For Data Analyst @iNeuroniNtelligence,2022-10-16T13:27:20Z,10/16/2022,13:27:20Z,14740,301,142,Oct,KrishNaik
63,Power Of Internship For Your First Data Science Job- Transition Story Of Rohan,2022-10-15T12:00:15Z,10/15/2022,12:00:15Z,16655,803,62,Oct,KrishNaik
64,RoadMap For 30 Days Data Science Interview Preparation With Materials @iNeuroniNtelligence,2022-10-14T04:05:48Z,10/14/2022,04:05:48Z,16405,1820,104,Oct,KrishNaik
65,@GitHub Sent Me These Amazing Gifts As A Github Star 🌟,2022-10-13T07:24:46Z,10/13/2022,07:24:46Z,8479,253,23,Oct,KrishNaik
66,Resume Discussion To Crack Data Science Jobs For Freshers- Just Follow The Process,2022-10-09T03:58:28Z,10/9/2022,03:58:28Z,40208,1396,52,Oct,KrishNaik
67,Live Q&A-Data Science Jobs-Ask Anything Related To Data Science,2022-10-06T16:07:57Z,10/6/2022,16:07:57Z,9643,296,23,Oct,KrishNaik
68,Navaratri Celebration In iNeuron😇😇,2022-10-04T11:59:58Z,10/4/2022,11:59:58Z,19496,338,20,Oct,KrishNaik
69,New Research-How To Stay Updated In AI-Action And Text To Motion Models Using AI,2022-10-04T10:38:14Z,10/4/2022,10:38:14Z,5145,166,6,Oct,KrishNaik
70,Do Not Miss This Opportunity From @iNeuroniNtelligence - Start Getting Skilled,2022-10-02T13:13:00Z,10/2/2022,13:13:00Z,10453,178,53,Oct,KrishNaik
71,Amazing AI Use Cases-Google Cloud ML Increases On Time Flight Using Wind Forecasting,2022-09-30T07:36:42Z,9/30/2022,07:36:42Z,9783,238,17,Sep,KrishNaik
72,Complete RoadMap To Learn AIOPS or MLOPS,2022-09-27T06:30:23Z,9/27/2022,06:30:23Z,25220,825,44,Sep,KrishNaik
73,This Is How We Teach In Ineuron: Introduction Session Industry Ready Projects,2022-09-25T14:00:01Z,9/25/2022,14:00:01Z,24987,302,58,Sep,KrishNaik
74,Live Q&A-Ask Anything Related To Data Science,2022-09-22T17:08:35Z,9/22/2022,17:08:35Z,10819,372,15,Sep,KrishNaik
75,Data Science Industry Ready Project Course Announcement For Everyone-24th September,2022-09-21T08:48:08Z,9/21/2022,08:48:08Z,15871,468,83,Sep,KrishNaik
76,30 Days Live Data Science Interview Preparation Induction Session,2022-09-19T16:53:20Z,9/19/2022,16:53:20Z,13726,482,19,Sep,KrishNaik
77,Detailed Interview Process To Crack FAANG Companies- Ft:@PriyaBhatia,2022-09-19T12:03:53Z,9/19/2022,12:03:53Z,6325,217,13,Sep,KrishNaik
78,Roadmap To Crack Your First Data Science Job,2022-09-17T07:54:24Z,9/17/2022,07:54:24Z,24612,989,60,Sep,KrishNaik
79,Detailed Roadmap To Learn Data Stuctures And Algorithms Ft: @PriyaBhatia,2022-09-15T12:49:12Z,9/15/2022,12:49:12Z,20549,671,43,Sep,KrishNaik
