,Title,Published_at,Date,Time,views,Likes,Comment,Month,Youtuber_Name
0,What is UI Design? (2023),2023-02-23T15:00:16Z,2/23/2023,15:00:16Z,1309,71,4,Feb,codebasics
1,How I Changed Careers With a Bildungsgutschein!,2023-02-23T05:48:38Z,2/23/2023,05:48:38Z,720,27,0,Feb,codebasics
2,What does a Product Manager do? (2023),2023-02-17T12:30:11Z,2/17/2023,12:30:11Z,1337,74,3,Feb,codebasics
3,How I'd Learn UX Design in 2023 (If I Had to Start Over),2023-02-09T15:00:26Z,2/9/2023,15:00:26Z,6410,301,33,Feb,codebasics
4,5 Video Best Practices For Social Media Marketing,2023-02-08T05:06:00Z,2/8/2023,05:06:00Z,645,23,1,Feb,codebasics
5,Building Your First Data Analytics Portfolio: A Step by Step Guide (2023),2023-02-03T11:30:23Z,2/3/2023,11:30:23Z,5204,328,6,Feb,codebasics
6,How to Network in Tech in 2023,2023-02-03T05:25:52Z,2/3/2023,05:25:52Z,1180,52,1,Feb,codebasics
7,UI Design Trends 2023,2023-01-26T16:00:33Z,1/26/2023,16:00:33Z,4219,217,9,Jan,codebasics
8,Why Transferable Skills are so Important to your Career Change,2023-01-20T11:16:31Z,1/20/2023,11:16:31Z,1259,47,2,Jan,codebasics
9,From UX Student to Product Owner at ALDI,2023-01-19T05:10:46Z,1/19/2023,05:10:46Z,1165,62,1,Jan,codebasics
10,Data Analytics Trends You Need To Know (2023),2023-01-12T13:00:08Z,1/12/2023,13:00:08Z,5863,315,9,Jan,codebasics
11,Learn How I Solved a BBC UX Design Challenge (with Sara Lowry),2023-01-12T05:08:48Z,1/12/2023,05:08:48Z,2267,122,1,Jan,codebasics
12,Learn Figma in Under 45 mins! (Free Live Tutorial),2023-01-11T05:15:37Z,1/11/2023,05:15:37Z,2592,133,2,Jan,codebasics
13,Will AI take your UX Design Job?!,2023-01-05T13:00:32Z,1/5/2023,13:00:32Z,2788,164,2,Jan,codebasics
14,The Essential UX Design Trends to get ahead of in 2023,2022-12-29T13:00:05Z,12/29/2022,13:00:05Z,76663,3279,69,Dec,codebasics
15,6 Marketing Trends you NEED to stay ahead of in 2023...,2022-12-22T13:02:12Z,12/22/2022,13:02:12Z,2215,112,15,Dec,codebasics
16,7 UX Design Trends to Watch in 2023!,2022-12-21T06:10:26Z,12/21/2022,06:10:26Z,5534,177,4,Dec,codebasics
17,How I Built a Career in UX Design after My Bootcamp,2022-12-14T14:16:03Z,12/14/2022,14:16:03Z,1000,26,4,Dec,codebasics
18,The Most Rewarding Thing About My UX Career Change!,2022-12-06T13:03:12Z,12/6/2022,13:03:12Z,1416,65,1,Dec,codebasics
19,An Introduction to Data Analytics (with Dr. Humera),2022-11-24T06:02:12Z,11/24/2022,06:02:12Z,2399,78,4,Nov,codebasics
20,"What Is the ""FILTER"" Function?",2022-11-21T13:00:06Z,11/21/2022,13:00:06Z,789,14,0,Nov,codebasics
21,"How to Use the ""SORT"" Function?",2022-11-16T13:00:12Z,11/16/2022,13:00:12Z,558,6,0,Nov,codebasics
22,"How to Use the ""VLOOKUP"" Function?",2022-11-14T13:00:15Z,11/14/2022,13:00:15Z,808,21,1,Nov,codebasics
23,"An Introduction to the ""LEN"" Function",2022-11-09T01:00:00Z,11/9/2022,01:00:00Z,560,13,0,Nov,codebasics
24,"Get Started With ""LEFT / MID / RIGHT"" Functions",2022-11-07T13:00:33Z,11/7/2022,13:00:33Z,590,13,0,Nov,codebasics
25,"An Explanation of the ""ISBLANK"" Function",2022-11-02T13:00:32Z,11/2/2022,13:00:32Z,627,20,0,Nov,codebasics
26,"An Introduction to the ""CONCATENATE"" Function",2022-10-31T13:00:41Z,10/31/2022,13:00:41Z,529,14,0,Oct,codebasics
27,"How to Create an ""AVERAGEIF"" Statement",2022-10-26T12:00:37Z,10/26/2022,12:00:37Z,807,20,0,Oct,codebasics
28,7 Lessons for Growing Your Career as a Digital Marketer,2022-10-26T04:14:04Z,10/26/2022,04:14:04Z,1008,33,0,Oct,codebasics
29,"What is a ""UNIQUE"" Function?",2022-10-24T12:23:29Z,10/24/2022,12:23:29Z,427,12,0,Oct,codebasics
30,Why Tech Is One Of The Most Recession-Proof Industries...,2022-10-20T12:49:52Z,10/20/2022,12:49:52Z,2186,72,2,Oct,codebasics
31,"How to create an ""IF"" Function in Excel",2022-10-19T12:00:15Z,10/19/2022,12:00:15Z,1650,34,0,Oct,codebasics
32,Why Is Communication Vital For Data Analysts? (w. Alex The Analyst),2022-10-17T12:00:30Z,10/17/2022,12:00:30Z,1752,44,0,Oct,codebasics
33,An Introduction to Adobe XD (with Craig Hansen),2022-10-14T04:07:07Z,10/14/2022,04:07:07Z,1064,48,4,Oct,codebasics
34,Why Data Analysts Don't Need Degrees... (w. Alex The Analyst),2022-10-12T12:00:24Z,10/12/2022,12:00:24Z,2504,86,7,Oct,codebasics
35,Data Analytics Companies You Should Apply To... (w. Alex The Analyst),2022-10-10T12:00:25Z,10/10/2022,12:00:25Z,1867,66,1,Oct,codebasics
36,How To Make Sure Your Dataset Is Clean? (w. Alex The Analyst),2022-10-05T12:00:29Z,10/5/2022,12:00:29Z,975,21,0,Oct,codebasics
37,Getting Your First Data Analytics Work Experience (w. Alex The Analyst),2022-10-03T12:00:10Z,10/3/2022,12:00:10Z,1309,33,2,Oct,codebasics
38,10 Free Dataset Resources for Your Next Project!,2022-09-30T12:00:25Z,9/30/2022,12:00:25Z,9941,485,4,Sep,codebasics
39,Women in Tech: Advice on Navigating the Biggest Challenges,2022-09-30T05:26:58Z,9/30/2022,05:26:58Z,1128,48,0,Sep,codebasics
40,Are Data Analytics Portfolios That Important? (w. Alex The Analyst),2022-09-28T12:00:13Z,9/28/2022,12:00:13Z,1064,35,2,Sep,codebasics
41,An Introduction to Design Thinking (with Maureen Herben),2022-09-28T05:08:56Z,9/28/2022,05:08:56Z,3745,146,8,Sep,codebasics
42,Does Data Analytics Suit Non-Technical People? (w. Alex The Analyst),2022-09-26T12:00:06Z,9/26/2022,12:00:06Z,1626,41,4,Sep,codebasics
