,Title,Published_at,Date,Time,views,Likes,Comment,Month,Youtuber_Name
0,SQL Live class on Lighthall | Learn SQL from Basic to Advance in SQL Bootcamp,2023-01-26T07:00:07Z,1/26/2023,07:00:07Z,8015,206,138,Jan,TechTFQ
1,How to learn SQL for free | Roadmap to learning SQL,2022-12-28T13:00:10Z,12/28/2022,13:00:10Z,132000,4844,258,Dec,TechTFQ
2,Solving an SQL Interview Problem,2022-12-18T13:39:48Z,12/18/2022,13:39:48Z,16639,675,7,Dec,TechTFQ
3,Solving SQL Interview Query | Find Tree Node type using SQL,2022-12-12T13:30:15Z,12/12/2022,13:30:15Z,14151,626,45,Dec,TechTFQ
4,Solving SQL Interview Query for Data Analyst asked by a Product based company,2022-12-07T13:25:28Z,12/7/2022,13:25:28Z,161750,4255,176,Dec,TechTFQ
5,Solving a tricky SQL Interview Query,2022-11-21T13:00:04Z,11/21/2022,13:00:04Z,32655,1127,107,Nov,TechTFQ
6,SQL Interview Query for Data Analyst,2022-11-14T13:00:17Z,11/14/2022,13:00:17Z,26876,933,52,Nov,TechTFQ
7,Solving a Complex SQL Interview Problem | Find the Most Modified File Extension,2022-10-31T13:00:16Z,10/31/2022,13:00:16Z,18496,730,59,Oct,TechTFQ
8,SQL JOINS Interview Question | What does different SQL Joins return?,2022-10-24T13:30:12Z,10/24/2022,13:30:12Z,110516,3794,236,Oct,TechTFQ
9,Google SQL Interview Problem | Solving SQL Interview Query,2022-10-10T13:00:28Z,10/10/2022,13:00:28Z,26727,1026,117,Oct,TechTFQ
10,SQL Interview Problem asked by Product Based Company | Solving SQL Interview Query,2022-10-05T13:13:21Z,10/5/2022,13:13:21Z,44707,1756,120,Oct,TechTFQ
11,How to become a Data Analyst FASTER ?,2022-09-30T13:44:54Z,9/30/2022,13:44:54Z,77544,3222,180,Sep,TechTFQ
12,Tricky SQL Interview Query | Practice Solving SQL Interview Queries,2022-09-22T13:00:26Z,9/22/2022,13:00:26Z,23242,740,89,Sep,TechTFQ
13,"Solving SQL Interview Query using a ""VERY IMPORTANT SQL concept""",2022-09-19T13:00:17Z,9/19/2022,13:00:17Z,82557,2001,163,Sep,TechTFQ
14,Solving SQL Interview Query | SQL Problem by Service based company,2022-09-16T13:00:32Z,9/16/2022,13:00:32Z,21700,860,67,Sep,TechTFQ
15,Practice SQL Interview Query | Big 4 Interview Question,2022-09-12T13:00:33Z,9/12/2022,13:00:33Z,50402,1973,135,Sep,TechTFQ
16,Solving SQL Interview Query | Ungroup given input data | FAANG Interview Query,2022-09-08T13:00:36Z,9/8/2022,13:00:36Z,25972,791,74,Sep,TechTFQ
17,How to remove Duplicate Data in SQL | SQL Query to remove duplicate,2022-09-02T13:29:46Z,9/2/2022,13:29:46Z,134918,3685,176,Sep,TechTFQ
18,Solving Complex SQL Query from HackerRank | SQL Interview Query,2022-08-10T13:56:09Z,8/10/2022,13:56:09Z,48466,1337,132,Aug,TechTFQ
19,Data Analyst vs Business Analyst | What should you choose?,2022-07-26T12:45:01Z,7/26/2022,12:45:01Z,20200,918,97,Jul,TechTFQ
20,Materialized View in SQL | Faster SQL Queries using Materialized Views,2022-07-07T13:04:22Z,7/7/2022,13:04:22Z,35218,1101,150,Jul,TechTFQ
21,Learn SQL the right way | SQL Live Training | Learn SQL from me,2022-06-28T14:30:13Z,6/28/2022,14:30:13Z,24642,563,187,Jun,TechTFQ
22,SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 2 (Query Solution),2022-06-21T14:10:42Z,6/21/2022,14:10:42Z,18005,487,50,Jun,TechTFQ
23,SQL Interview Assignment Queries | REAL SQL Assignment given in Interview Part 1 (Problem Statement),2022-06-17T13:30:02Z,6/17/2022,13:30:02Z,15418,502,78,Jun,TechTFQ
